repeat,concurrency,workload,role,view,operation,calls,input_items,attempts,completed_calls_per_second,successful_calls_per_second,completed_input_items_per_second,successful_input_items_per_second,mean_us,p50_lower_us,p50_upper_us,p95_lower_us,p95_upper_us,p99_lower_us,p99_upper_us,outcomes_json,reasons_json,client_cpu_cores,server_cpu_cores
0,1,batch64-r000,new,combined,read+write,46049,2947136,46049,4604.8933625067075,4604.8933625067075,294713.1752004293,294713.1752004293,217.04601758995852,210.944,212.991,239.616,241.663,274.432,278.527,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 46049, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 46049}",0.11259203303818749,2.049727087778411
0,1,batch64-r000,new,batch_get,batch_get,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 0, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 0}",0.11259203303818749,2.049727087778411
0,1,batch64-r000,new,batch_put,batch_put,46049,2947136,46049,4604.8933625067075,4604.8933625067075,294713.1752004293,294713.1752004293,217.04601758995852,210.944,212.991,239.616,241.663,274.432,278.527,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 46049, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 46049}",0.11259203303818749,2.049727087778411
0,1,batch64-r000,redis,combined,read+write,423441,27100224,423441,42344.05032196016,42344.05032196016,2710019.22060545,2710019.22060545,22.47882748482079,22.016,22.271,23.296,23.551,29.696,29.951,"{""read_failure"": 0, ""success"": 423441, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 423441}",0.6152238958901091,0.4181768642444784
0,1,batch64-r000,redis,mget,mget,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""read_failure"": 0, ""success"": 0, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 0}",0.6152238958901091,0.4181768642444784
0,1,batch64-r000,redis,mset,mset,423441,27100224,423441,42344.05032196016,42344.05032196016,2710019.22060545,2710019.22060545,22.47882748482079,22.016,22.271,23.296,23.551,29.696,29.951,"{""read_failure"": 0, ""success"": 423441, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 423441}",0.6152238958901091,0.4181768642444784
0,1,batch64-r050,old,combined,read+write,58617,3751488,58617,5861.673977684543,5861.673977684543,375147.1345718108,375147.1345718108,170.09304321271986,194.56,196.607,233.472,235.519,270.336,274.431,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 58617, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 58617}",0.14993077074957104,1.7348004386469742
0,1,batch64-r050,old,batch_get,batch_get,29270,1873280,29270,2926.987005933886,2926.987005933886,187327.1683797687,187327.1683797687,119.80038397676802,116.736,117.759,151.552,153.599,172.032,174.079,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 29270, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 29270}",0.14993077074957104,1.7348004386469742
0,1,batch64-r050,old,batch_put,batch_put,29347,1878208,29347,2934.6869717506574,2934.6869717506574,187819.96619204208,187819.96619204208,220.25374569802705,212.992,215.039,247.808,249.855,282.624,286.719,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 29347, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 29347}",0.14993077074957104,1.7348004386469742
0,1,batch64-r050,new,combined,read+write,58681,3755584,58681,5868.023006256937,5868.023006256937,375553.472400444,375553.472400444,169.903123310782,194.56,196.607,233.472,235.519,266.24,270.335,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 58681, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 58681}",0.14885654366969667,1.7380900124939764
