repeat,concurrency,workload,role,view,operation,calls,input_items,attempts,completed_calls_per_second,successful_calls_per_second,completed_input_items_per_second,successful_input_items_per_second,mean_us,p50_lower_us,p50_upper_us,p95_lower_us,p95_upper_us,p99_lower_us,p99_upper_us,outcomes_json,reasons_json,client_cpu_cores,server_cpu_cores
pooled 0+1,1,point-r100,redis,get,get,3461189,3461189,3461189,173059.40529875562,173059.40529875562,173059.40529875562,173059.40529875562,5.699134779406729,5.568,5.631,5.952,6.015,7.68,7.743,"{""read_failure"": 0, ""success"": 3461189, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 3461189}",0.6145195001893407,0.5255895533975532
pooled 0+1,1,point-r100,redis,set,set,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""read_failure"": 0, ""success"": 0, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 0}",0.6145195001893407,0.5255895533975532
pooled 0+1,1,batch64-r000,old,combined,read+write,92525,5921600,92525,4626.232797815965,4626.232797815965,296078.89906022174,296078.89906022174,216.04995555795733,208.896,210.943,239.616,241.663,278.528,282.623,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 92525, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 92525}",0.11353109980753695,2.057163569260373
pooled 0+1,1,batch64-r000,old,batch_get,batch_get,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 0, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 0}",0.11353109980753695,2.057163569260373
pooled 0+1,1,batch64-r000,old,batch_put,batch_put,92525,5921600,92525,4626.232797815965,4626.232797815965,296078.89906022174,296078.89906022174,216.04995555795733,208.896,210.943,239.616,241.663,278.528,282.623,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 92525, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 92525}",0.11353109980753695,2.057163569260373
pooled 0+1,1,batch64-r000,new,combined,read+write,92107,5894848,92107,4605.320962069738,4605.320962069738,294740.54157246323,294740.54157246323,217.0248433452398,210.944,212.991,241.664,243.711,274.432,278.527,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 92107, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 92107}",0.11301782508226371,2.0554294822694987
pooled 0+1,1,batch64-r000,new,batch_get,batch_get,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 0, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 0}",0.11301782508226371,2.0554294822694987
pooled 0+1,1,batch64-r000,new,batch_put,batch_put,92107,5894848,92107,4605.320962069738,4605.320962069738,294740.54157246323,294740.54157246323,217.0248433452398,210.944,212.991,241.664,243.711,274.432,278.527,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 92107, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 92107}",0.11301782508226371,2.0554294822694987
pooled 0+1,1,batch64-r000,redis,combined,read+write,846891,54201024,846891,42344.48680720511,42344.48680720511,2710047.155661127,2710047.155661127,22.47956179484727,22.016,22.271,23.296,23.551,30.976,31.231,"{""read_failure"": 0, ""success"": 846891, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 846891}",0.616551693882246,0.4175677377083923
pooled 0+1,1,batch64-r000,redis,mget,mget,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""read_failure"": 0, ""success"": 0, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 0}",0.616551693882246,0.4175677377083923
